
,,,,Measures,"Number of collisions","Number of injured","Number of fatalities"
"Month","Year","Road Class I","Speed limit","Pedestrians",
"March","2015","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Unknown","40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Unknown","50 km per hour","Collisions with 0 pedestrians",9,18,0
"March","2015","Unknown","50 km per hour","Collisions with 1 pedestrian",2,2,0
"March","2015","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Unknown","60 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2015","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Unknown","70 km per hour","Collisions with 0 pedestrians",2,2,0
"March","2015","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Unknown","80 km per hour","Collisions with 0 pedestrians",5,8,0
"March","2015","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Unknown","80 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2015","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Unknown","90 km per hour","Collisions with 0 pedestrians",13,18,0
"March","2015","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Unknown","100 km per hour","Collisions with 0 pedestrians",3,3,0
"March","2015","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Unknown","100 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2015","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2015","Unknown","110 km per hour","Collisions with 0 pedestrians",1,2,0
"March","2015","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2015","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2015","Unknown","110 km per hour","Collisions with 3 or more pedestrians",1,1,0
"March","2015","Unknown","Unknown","Collisions with 0 pedestrians",40,43,0
"March","2015","Unknown","Unknown","Collisions with 1 pedestrian",3,3,0
"March","2015","Unknown","Unknown","Collisions with 2 pedestrians",1,0,1
"March","2015","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",67,91,0
"March","2016","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",32,32,0
"March","2016","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2016","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",2,4,0
"March","2016","Urban","40 km per hour","Collisions with 0 pedestrians",139,163,1
"March","2016","Urban","40 km per hour","Collisions with 1 pedestrian",63,64,0
"March","2016","Urban","40 km per hour","Collisions with 2 pedestrians",6,9,0
"March","2016","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Urban","50 km per hour","Collisions with 0 pedestrians",2425,3366,7
"March","2016","Urban","50 km per hour","Collisions with 1 pedestrian",462,460,11
"March","2016","Urban","50 km per hour","Collisions with 2 pedestrians",34,52,1
"March","2016","Urban","50 km per hour","Collisions with 3 or more pedestrians",4,6,0
"March","2016","Urban","60 km per hour","Collisions with 0 pedestrians",853,1250,7
"March","2016","Urban","60 km per hour","Collisions with 1 pedestrian",88,89,3
"March","2016","Urban","60 km per hour","Collisions with 2 pedestrians",8,15,0
"March","2016","Urban","60 km per hour","Collisions with 3 or more pedestrians",2,5,0
"March","2016","Urban","70 km per hour","Collisions with 0 pedestrians",177,254,2
"March","2016","Urban","70 km per hour","Collisions with 1 pedestrian",3,3,0
"March","2016","Urban","70 km per hour","Collisions with 2 pedestrians",3,7,0
"March","2016","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Urban","80 km per hour","Collisions with 0 pedestrians",98,147,1
"March","2016","Urban","80 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2016","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Urban","80 km per hour","Collisions with 3 or more pedestrians",1,1,0
"March","2016","Urban","90 km per hour","Collisions with 0 pedestrians",75,109,3
"March","2016","Urban","90 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2016","Urban","90 km per hour","Collisions with 2 pedestrians",1,2,0
"March","2016","Urban","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Urban","100 km per hour","Collisions with 0 pedestrians",78,112,1
"March","2016","Urban","100 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2016","Urban","100 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2016","Urban","100 km per hour","Collisions with 3 or more pedestrians",1,1,0
"March","2016","Urban","110 km per hour","Collisions with 0 pedestrians",7,11,0
"March","2016","Urban","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Urban","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Urban","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Urban","Unknown","Collisions with 0 pedestrians",329,421,1
"March","2016","Urban","Unknown","Collisions with 1 pedestrian",66,66,1
"March","2016","Urban","Unknown","Collisions with 2 pedestrians",6,9,0
"March","2016","Urban","Unknown","Collisions with 3 or more pedestrians",3,3,0
"March","2016","Rural","Less than 40 km per hour","Collisions with 0 pedestrians",10,12,1
"March","2016","Rural","Less than 40 km per hour","Collisions with 1 pedestrian",3,3,0
"March","2016","Rural","Less than 40 km per hour","Collisions with 2 pedestrians",2,2,0
"March","2016","Rural","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Rural","40 km per hour","Collisions with 0 pedestrians",5,6,0
"March","2016","Rural","40 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Rural","40 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2016","Rural","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Rural","50 km per hour","Collisions with 0 pedestrians",116,164,5
"March","2016","Rural","50 km per hour","Collisions with 1 pedestrian",4,4,0
"March","2016","Rural","50 km per hour","Collisions with 2 pedestrians",3,3,0
"March","2016","Rural","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Rural","60 km per hour","Collisions with 0 pedestrians",55,77,4
"March","2016","Rural","60 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Rural","60 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Rural","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Rural","70 km per hour","Collisions with 0 pedestrians",192,270,3
"March","2016","Rural","70 km per hour","Collisions with 1 pedestrian",8,9,1
"March","2016","Rural","70 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2016","Rural","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Rural","80 km per hour","Collisions with 0 pedestrians",502,723,17
"March","2016","Rural","80 km per hour","Collisions with 1 pedestrian",10,9,1
"March","2016","Rural","80 km per hour","Collisions with 2 pedestrians",6,9,0
"March","2016","Rural","80 km per hour","Collisions with 3 or more pedestrians",1,4,0
"March","2016","Rural","90 km per hour","Collisions with 0 pedestrians",348,492,11
"March","2016","Rural","90 km per hour","Collisions with 1 pedestrian",4,4,0
"March","2016","Rural","90 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Rural","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Rural","100 km per hour","Collisions with 0 pedestrians",622,867,22
"March","2016","Rural","100 km per hour","Collisions with 1 pedestrian",5,6,1
"March","2016","Rural","100 km per hour","Collisions with 2 pedestrians",4,5,0
"March","2016","Rural","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Rural","110 km per hour","Collisions with 0 pedestrians",61,95,0
"March","2016","Rural","110 km per hour","Collisions with 1 pedestrian",1,1,0
"March","2016","Rural","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Rural","110 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Rural","Unknown","Collisions with 0 pedestrians",55,65,3
"March","2016","Rural","Unknown","Collisions with 1 pedestrian",2,2,0
"March","2016","Rural","Unknown","Collisions with 2 pedestrians",3,4,0
"March","2016","Rural","Unknown","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Unknown","Less than 40 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2016","Unknown","Less than 40 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Unknown","Less than 40 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Unknown","Less than 40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Unknown","40 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2016","Unknown","40 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Unknown","40 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2016","Unknown","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Unknown","50 km per hour","Collisions with 0 pedestrians",11,15,0
"March","2016","Unknown","50 km per hour","Collisions with 1 pedestrian",2,2,0
"March","2016","Unknown","50 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Unknown","50 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Unknown","60 km per hour","Collisions with 0 pedestrians",0,0,0
"March","2016","Unknown","60 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Unknown","60 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Unknown","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Unknown","70 km per hour","Collisions with 0 pedestrians",3,3,0
"March","2016","Unknown","70 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Unknown","70 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Unknown","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Unknown","80 km per hour","Collisions with 0 pedestrians",2,2,0
"March","2016","Unknown","80 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Unknown","80 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Unknown","80 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Unknown","90 km per hour","Collisions with 0 pedestrians",6,7,0
"March","2016","Unknown","90 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Unknown","90 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Unknown","90 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Unknown","100 km per hour","Collisions with 0 pedestrians",1,1,1
"March","2016","Unknown","100 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Unknown","100 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Unknown","100 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2016","Unknown","110 km per hour","Collisions with 0 pedestrians",1,2,0
"March","2016","Unknown","110 km per hour","Collisions with 1 pedestrian",0,0,0
"March","2016","Unknown","110 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2016","Unknown","110 km per hour","Collisions with 3 or more pedestrians",1,1,0
"March","2016","Unknown","Unknown","Collisions with 0 pedestrians",36,39,0
"March","2016","Unknown","Unknown","Collisions with 1 pedestrian",6,6,0
"March","2016","Unknown","Unknown","Collisions with 2 pedestrians",0,0,0
"March","2016","Unknown","Unknown","Collisions with 3 or more pedestrians",0,0,0
"March","2017","Urban","Less than 40 km per hour","Collisions with 0 pedestrians",71,86,0
"March","2017","Urban","Less than 40 km per hour","Collisions with 1 pedestrian",37,37,0
"March","2017","Urban","Less than 40 km per hour","Collisions with 2 pedestrians",1,2,0
"March","2017","Urban","Less than 40 km per hour","Collisions with 3 or more pedestrians",1,1,0
"March","2017","Urban","40 km per hour","Collisions with 0 pedestrians",130,168,1
"March","2017","Urban","40 km per hour","Collisions with 1 pedestrian",57,57,0
"March","2017","Urban","40 km per hour","Collisions with 2 pedestrians",1,1,0
"March","2017","Urban","40 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2017","Urban","50 km per hour","Collisions with 0 pedestrians",2299,3123,14
"March","2017","Urban","50 km per hour","Collisions with 1 pedestrian",409,408,10
"March","2017","Urban","50 km per hour","Collisions with 2 pedestrians",23,40,1
"March","2017","Urban","50 km per hour","Collisions with 3 or more pedestrians",3,3,0
"March","2017","Urban","60 km per hour","Collisions with 0 pedestrians",800,1157,4
"March","2017","Urban","60 km per hour","Collisions with 1 pedestrian",91,95,1
"March","2017","Urban","60 km per hour","Collisions with 2 pedestrians",4,6,0
"March","2017","Urban","60 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2017","Urban","70 km per hour","Collisions with 0 pedestrians",186,251,2
"March","2017","Urban","70 km per hour","Collisions with 1 pedestrian",6,6,0
"March","2017","Urban","70 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2017","Urban","70 km per hour","Collisions with 3 or more pedestrians",0,0,0
"March","2017","Urban","80 km per hour","Collisions with 0 pedestrians",82,113,0
"March","2017","Urban","80 km per hour","Collisions with 1 pedestrian",4,3,1
"March","2017","Urban","80 km per hour","Collisions with 2 pedestrians",0,0,0
"March","2017","Urban","80 km per hour","Collisions with 3 or more pedestrians",1,1,0
